Date,Open,Volume,Low,High,Close
"Mar 29, 2015",252.74,21699400,240.85,253.14,242.71
"Mar 30, 2015",242.88,23009600,239.21,249.24,247.53
"Mar 31, 2015",247.45,22672000,242.74,248.73,244.22
"Apr 01, 2015",244.22,22877200,241.16,247.54,247.27
"Apr 02, 2015",247.09,26272600,245.42,254.46,253
"Apr 03, 2015",253.07,23146600,251.88,256.04,254.32
"Apr 04, 2015",254.29,12493500,251.1,255.26,253.7
"Apr 05, 2015",253.76,19649200,251.94,260.68,260.6
"Apr 06, 2015",260.72,20034200,254.57,261.8,255.49
"Apr 07, 2015",255.27,18467400,252.21,255.81,253.18
"Apr 08, 2015",253.06,30086400,244.22,253.85,245.02
"Apr 09, 2015",244.75,21643500,239.4,246.12,243.68
"Apr 10, 2015",243.69,28882000,232.77,243.69,236.07
"Apr 11, 2015",236.02,16365200,234.18,239.54,236.55
"Apr 12, 2015",236.53,12387900,233.5,237.73,236.15
"Apr 13, 2015",235.95,31181800,222,236.94,224.59
"Apr 14, 2015",224.76,31719000,216.32,224.98,219.16
"Apr 15, 2015",219.07,22562000,218.65,223.83,223.83
"Apr 16, 2015",223.92,24805400,223.92,229.67,228.57
"Apr 17, 2015",228.57,20429800,221.94,228.91,222.88
"Apr 18, 2015",222.85,12939000,220.88,224.32,223.36
"Apr 19, 2015",223.46,15021500,222.37,226.35,222.6
"Apr 20, 2015",222.61,18364700,221.98,226.35,224.63
"Apr 21, 2015",224.62,24978000,224.3,235.27,235.27
"Apr 22, 2015",235.6,23847900,233.48,237.91,234.18
"Apr 23, 2015",234.05,17036000,233.2,236.47,236.46
"Apr 24, 2015",235.97,21448700,229.93,236.31,231.27
"Apr 25, 2015",231.24,13957200,226.34,232.56,226.39
"Apr 26, 2015",226.41,28943700,214.87,226.94,219.43
"Apr 27, 2015",219.43,38574000,218.02,233.31,229.29
"Apr 28, 2015",228.97,21469200,223.07,229.5,225.85
"Apr 29, 2015",225.59,18936500,223.43,227.04,225.81
"Apr 30, 2015",225.69,33818600,224.99,239.56,236.15
"May 01, 2015",235.94,18815300,232.08,238.97,232.08
"May 02, 2015",232.34,12535500,232.34,235.73,234.93
"May 03, 2015",234.88,18494100,234.08,243.24,240.36
"May 04, 2015",240.36,21223400,237.81,242.64,239.02
"May 05, 2015",238.85,23929100,232.05,239.2,236.12
"May 06, 2015",236.25,29587200,229.23,236.45,229.78
"May 07, 2015",229.66,29064400,228.57,239.1,237.33
"May 08, 2015",237.2,27445500,236.27,246.28,243.86
"May 09, 2015",243.77,19790500,239.64,247.8,241.83
"May 10, 2015",241.73,15019100,238.85,244.07,240.3
"May 11, 2015",240.3,20892300,239.38,244.27,242.16
"May 12, 2015",242.15,19282600,240.1,242.88,241.11
"May 13, 2015",241.4,27180100,235.04,243.7,236.38
"May 14, 2015",236.21,24413700,234.06,237.8,236.93
"May 15, 2015",236.96,16329400,236.79,238.75,237.6
"May 16, 2015",237.64,11089700,235.29,237.7,236.15
"May 17, 2015",236.01,11134300,236.01,238.03,236.8
"May 18, 2015",236.89,16780300,232.46,237.21,233.13
"May 19, 2015",233.04,14241900,231.82,234.15,231.95
"May 20, 2015",231.89,15499400,231.84,234.68,234.02
